time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,Simulation_reset
0.0,255.975849368,5.36256209016,108.436917514,-50.7971145213,477.624196187,446.514835488,475.287564658,328.986241762,157.83209987,541.368670389
1.0,255.975849368,5.36256209016,108.436917514,-50.7971145213,477.624196187,446.514835488,475.287564658,328.986241762,157.83209987,541.368670389
2.0,255.975849368,5.36256209016,108.436917514,-50.7971145213,477.624196187,446.514835488,475.287564658,328.986241762,157.83209987,541.368670389
3.0,243.194234663,-11.4596751293,99.4609257865,-57.8173605226,470.128877026,435.694275835,469.927289045,328.828353481,157.83209987,541.368670389
4.0,243.194235119,-11.4596749085,99.4609259779,-57.8173602483,470.128877297,435.694276072,469.927289064,328.828353481,157.83209987,541.368670389
5.02,243.036856796,-12.3457495706,99.0282945217,-57.9511291644,470.128877297,435.694276072,469.440442233,328.774004144,157.83209987,541.368670389
6.04,229.112899425,-27.5543405131,93.3128886832,-65.810699109,461.499428269,412.932298205,462.508508199,328.694364333,157.83209987,541.368670389
7.06,229.112899398,-27.5543405184,93.3128886697,-65.8106991268,461.499428244,412.932298149,462.508508198,328.694364333,157.83209987,541.368670389
8.08,228.260062513,-29.8788396128,91.1441465163,-66.5807806428,460.91582277,412.932298149,461.972802632,328.236188045,157.83209987,541.368670389
9.1,206.741259905,-51.3156096944,82.2055358821,-77.8722885019,447.772850366,390.387452584,450.495443179,327.94817545,157.83209987,541.368670389
10.12,167.469324214,-76.4670564941,73.2755506085,-82.5450110944,445.63417975,364.186627188,436.343503963,327.94817545,157.83209987,541.368670389
11.14,133.601870219,-105.502797549,66.0032520086,-91.1363262062,436.093673473,335.684198867,429.174745974,327.94817545,157.83209987,541.368670389
12.16,133.601871211,-105.502797097,66.0032522488,-91.1363257055,436.093674052,335.684199472,429.174745987,327.94817545,157.83209987,541.368670389
13.18,132.22157608,-109.496704707,63.3595005615,-91.6003658567,436.093674052,335.389014994,426.336618662,327.687937473,157.83209987,541.368670389
14.2,121.758338069,-121.569489783,56.2154622027,-101.717669936,425.269040201,318.169544349,420.555152415,327.670660846,157.83209987,541.227944572
15.22,107.202805358,-130.387091938,53.9523877222,-106.81308537,421.971785104,312.127016746,419.477846517,327.670660846,157.509186294,536.098589059
16.24,100.819360864,-136.150776519,53.0851476715,-107.366969571,419.943786146,310.924330804,416.87040854,327.670660846,157.50918457,536.097166444
17.26,95.0542665649,-141.55116807,51.8351821598,-110.317449748,415.081785402,305.827821054,412.578621327,327.670660846,157.50918457,536.097166444
18.28,89.6255647857,-148.367131784,50.2479649054,-112.545163864,411.809512221,304.99732013,410.837177574,327.670660846,157.50918457,536.097166444
19.3,88.1765827984,-154.827683383,47.0015926099,-114.219492696,409.525684378,304.997320126,410.37587513,327.670660846,157.50918457,535.993549034
20.32,80.9335102241,-161.296801209,43.994698772,-118.162676512,403.684658855,302.639915017,406.191968183,327.670660846,157.50918457,535.992604015
21.34,73.2521681772,-170.245804933,39.4008122256,-121.238582592,402.275898638,297.653780427,396.837575529,327.670660846,157.50918457,535.992604015
22.36,68.4621868954,-177.653329821,36.2136851001,-125.083701741,398.492352711,296.71453749,392.507380829,327.670660846,157.50918457,535.992604015
23.38,64.7693631935,-182.07350816,34.7528686538,-127.684755867,393.957090097,292.00227472,388.46312005,327.670660846,157.50918457,535.992604015
24.4,58.3464271461,-189.75578499,32.058519778,-130.828083755,390.454573408,289.933902638,385.809284433,327.670660846,157.50918457,535.992604015
25.42,56.4199579386,-193.826474545,28.9791704898,-132.04416443,389.478370094,289.933902531,384.652338455,326.87938451,157.50918457,535.992604015
26.44,50.8894630513,-202.815529915,25.0283964607,-135.651778306,385.041384426,288.179018152,376.474059423,326.294732847,157.50918457,535.992604015
27.46,48.2835383707,-206.748897463,24.0059670927,-136.747286589,383.247928941,288.098147832,374.421937973,326.289355167,157.50918457,535.992604015
28.48,48.5763001903,-206.586733457,24.9907332883,-135.855864691,383.472028138,288.098147832,374.421937952,326.503671999,157.60127506,535.992604015
29.5,49.5539983397,-205.948367364,27.626487996,-133.722253082,383.737940853,288.098147832,374.421937952,328.785085868,159.297610802,535.992604015
30.52,48.0168812484,-210.487142512,22.4649302003,-135.249414564,381.924730953,288.098147832,370.618054486,325.561835016,159.346070776,535.992604015
31.54,48.078686954,-210.400723271,24.3505181652,-133.210966116,382.491977238,288.098147832,370.601473367,325.55905251,159.346070775,535.992604015
32.54,48.201518455,-210.228600448,24.781610864,-132.957002598,382.63427036,288.098147832,370.601473367,325.711960314,159.347535911,535.992604015
33.54,48.1214540046,-211.209694047,22.6795688294,-133.171160678,382.903785049,288.062423078,370.016220381,324.265006715,159.353276735,535.992604015
34.54,45.6311224668,-217.039231493,18.5522633393,-135.552717497,380.574470101,287.541005968,364.365792788,323.50440285,159.353272987,535.992604015
35.54,44.0845926066,-220.07675659,16.4526020232,-137.908814845,377.22229568,286.594232895,361.974645768,323.477944471,159.353272987,535.992604015
