time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,Simulation_reset
0.0,413.314065058,116.644731909,461.724185199,264.376538061,-32.3789275251,197.447889484,402.785358671,439.990646206,176.130098756,-31.2868082896,-146.526440885,-193.147649989
1.0,413.314065058,116.644731909,461.724185199,264.376538061,-32.3789275251,197.447889484,402.785358671,439.990646206,176.130098756,-31.2868082896,-146.526440885,-193.147649989
2.0,413.314065058,116.644731909,461.724185199,264.376538061,-32.3789275251,197.447889484,402.785358671,439.990646206,176.130098756,-31.2868082896,-146.526440885,-193.147649989
3.0,394.268121047,104.563173128,459.055649006,259.700143703,-46.2376703269,190.119964147,396.51138148,439.990646206,173.642140881,-32.6554640255,-146.526440885,-193.147649989
4.0,369.802512676,85.2029665075,451.980127063,251.829820903,-52.6171139857,182.713742982,388.309832212,438.254718607,164.778256512,-33.0063643815,-147.353269339,-197.583643238
5.02,349.11556646,67.7751361605,436.879829023,242.905985212,-56.2109377946,175.266975625,379.961783187,426.095074536,160.22500056,-33.0065565337,-147.627321258,-199.606969749
6.04,349.822674878,68.4924856538,437.108427277,243.114782493,-56.1338887404,175.53025702,380.358119249,426.640453738,160.350203884,-33.0065565347,-147.627322988,-199.606994054
7.06,343.239427253,59.5373279649,434.581366334,237.944882279,-58.9940149817,173.985997582,378.408368061,425.729910423,158.852844786,-33.0065565347,-147.627322988,-199.606994055
8.08,331.89789099,43.2791847046,430.880381724,231.07021523,-72.7238425837,167.546715053,372.546275767,425.728067989,158.700847153,-33.5837214361,-147.818641537,-199.606994055
9.1,325.183188117,31.5661583011,428.263062176,228.055792599,-77.6882761687,159.141732058,367.871025134,425.728067912,158.700840685,-34.0315756636,-154.016166901,-205.222746427
10.12,322.28010761,27.8792990647,425.835473407,226.223522485,-78.5607044691,158.517699415,366.562438139,425.728067912,158.700840685,-34.0316059084,-154.298690863,-206.91484761
11.14,322.280076502,27.8792620367,425.835443492,226.223503871,-78.5607103767,158.517697231,366.562422243,425.728067912,158.700840685,-34.0316059084,-154.298691097,-206.914866817
12.16,320.462050296,25.7718286127,425.29825341,225.304331076,-80.2393572617,157.360636017,366.253768487,425.728067912,158.700840685,-34.4087711875,-154.341461937,-206.914866868
13.18,326.987914854,35.0465380941,428.818971802,228.217785162,-76.9998423106,162.935151018,369.735146078,426.429826989,158.700840685,-32.3524080197,-152.785360809,-206.914866868
14.2,338.260872998,46.4317409023,432.786875494,231.439046352,-74.4359455484,177.42986078,385.547105585,428.026634939,158.700840685,-32.3486107194,-147.536690618,-205.030007742
15.22,343.030691337,50.3423060298,433.838563932,231.68597176,-71.3748608914,182.1443972,388.124826145,428.027591945,158.700840685,-30.566631651,-145.430612003,-204.985717131
16.24,362.46204433,69.0671259618,439.256583343,241.832568611,-58.4072272906,185.33167312,392.094892285,428.027591999,159.95562344,-23.6365433689,-145.382523742,-204.98571461
17.26,405.75029611,107.514430481,445.968398001,271.660270994,-33.7554221709,202.488315223,411.912774057,428.027591999,161.010026708,-22.559076302,-145.382520552,-204.98571461
18.28,480.52014107,199.399786441,459.442832328,339.621673321,4.60536732973,219.875901577,422.954585759,428.027591999,188.406323389,-19.3015964385,-145.382520552,-204.98571461
19.3,543.620288981,286.168002018,485.734113672,380.69282852,51.6456387923,241.551495313,444.571268752,428.027591999,202.161060857,-4.96818420747,-145.382520552,-204.98571461
20.32,582.550321121,325.034539332,495.188755486,394.436845657,96.2069141327,276.922666978,453.534788266,428.027591999,202.162522156,-1.5885035327,-142.862926139,-204.98571461
21.34,593.613172671,336.075666713,500.145010128,398.434295086,103.693485883,285.282360788,454.580324964,428.027591999,202.162522181,-1.40458787386,-139.59879454,-204.98571461
