time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,Simulation_reset
0.0,375.417415518,519.409984257,532.545822952,65.7227439806,93.4915357269,-123.771228362,338.028461207,486.788734421,376.858510263,-28.5881120712,52.3303385824,-64.4546621479
1.0,375.417415518,519.409984257,532.545822952,65.7227439806,93.4915357269,-123.771228362,338.028461207,486.788734421,376.858510263,-28.5881120712,52.3303385824,-64.4546621479
2.0,375.417415518,519.409984257,532.545822952,65.7227439806,93.4915357269,-123.771228362,338.028461207,486.788734421,376.858510263,-28.5881120712,52.3303385824,-64.4546621479
3.0,397.406747925,533.375841866,535.658047244,71.1167511339,109.495018941,-115.329083276,345.286305232,486.788734421,379.764705403,-27.0135599845,52.3303385824,-64.4546621479
4.0,427.545645181,557.34513863,544.408088383,80.8400642714,117.315339685,-106.242140652,355.306587423,488.952780537,390.73339038,-26.5890886487,53.3621996939,-58.8249871512
5.02,451.923589319,577.970492752,562.023219105,91.3189015694,121.508388986,-97.4556544815,365.105777793,502.933755349,396.060055008,-26.5888436039,53.7006630328,-56.3548028239
6.04,451.007738078,577.030056605,561.725543305,91.0433575135,121.407052688,-97.8015195296,364.582763094,502.23581795,395.894583638,-26.5888436026,53.7006651561,-56.3547736627
7.06,460.662408859,590.189830015,565.371101776,98.6825196565,125.64072313,-95.5862545219,367.395858044,503.459958414,398.127329897,-26.5888436026,53.7006651561,-56.3547736615
8.08,478.884383041,616.222351047,571.040423183,109.228059319,148.289084407,-84.8787813998,376.682629726,503.462494418,398.358634446,-25.6216920868,54.041137037,-56.3547736615
9.1,490.678484255,636.953120337,575.358602682,114.351056184,157.561120531,-69.7262132088,384.641498072,503.462494523,398.358644293,-24.7155920552,64.9745509477,-47.0837709134
10.12,495.374088481,642.934048227,579.280511534,117.308961097,158.971436708,-68.6933151169,386.736808538,503.462494523,398.358644293,-24.7155297863,65.4493125416,-44.3569998201
11.14,495.37413705,642.93410579,579.280558131,117.30898998,158.971445837,-68.6933116484,386.736833294,503.462494523,398.358644293,-24.7155297863,65.4493129343,-44.3569700374
12.16,498.576304681,646.653257112,580.223228647,118.930485856,161.941077461,-66.6728984508,387.271589129,503.462494523,398.358644293,-24.0519970464,65.5209200913,-44.3569699579
13.18,488.052933498,631.602148834,574.472859944,114.219968674,156.618180753,-75.6233107453,381.67429881,502.403304615,398.358644293,-27.5194798585,62.9760796765,-44.3569699579
14.2,473.743690483,617.060098229,569.481563377,110.135689436,153.349104813,-94.0735534885,361.877233669,500.358544381,398.358644293,-27.5256786231,56.3839216035,-46.6760937812
15.22,466.61276189,611.146721721,567.980021895,109.794504546,148.642135979,-100.926454239,358.236575644,500.357348365,398.358644293,-30.4077188091,53.358339366,-46.7301961607
16.24,436.036007896,581.416329629,559.343124252,94.0237912625,128.408591684,-105.818692565,352.086711764,500.357348297,396.356835125,-41.6189158319,53.2768073179,-46.7301992395
17.26,382.981240227,534.464106903,551.070332226,57.7031185251,97.9473444552,-126.516732204,328.307157613,500.357348297,394.997635164,-43.1062700071,53.2768019104,-46.7301992397
18.28,301.005196657,433.909714467,535.476673816,-17.3875821505,56.4520091983,-144.838043215,317.05947679,500.357348297,365.867919943,-46.4093320737,53.2768019101,-46.7301992397
19.3,246.096759174,357.914809165,512.544089524,-53.5080631013,16.5901889047,-162.900956388,297.496940987,500.357348297,352.364668748,-59.0717753664,53.2768019101,-46.7301992397
20.32,222.127691919,333.691917298,506.188959829,-62.3962047701,-10.6952079234,-184.63217823,292.002230913,500.357348297,352.363304098,-61.3186118429,51.5942206258,-46.7301992397
21.34,215.521555623,327.089551665,503.217278352,-64.818358719,-15.1921208124,-189.614069444,291.347440809,500.357348297,352.363304075,-61.4402713244,49.6567798799,-46.7301992397
22.36,216.205502379,327.292684888,502.991599677,-64.9860916415,-14.746083404,-188.607045954,291.991534751,500.357348297,352.363304075,-61.1330160938,50.5976009013,-46.7089421422
23.38,235.495886226,340.147326062,509.049142063,-59.3498129465,1.9579481728,-174.541075712,295.588322957,500.357348297,352.363304075,-60.2566053626,52.6384533454,-46.7082125771
24.4,268.378856864,366.949841513,513.50691095,-38.1744550347,29.0825043973,-167.465320424,304.099788664,500.357348297,353.275771038,-57.8682990696,52.6406766851,-46.7082125152
25.42,295.126321171,393.095170224,524.669346962,-25.3886083727,42.3815535799,-158.824816191,316.226698885,500.357348297,357.575511098,-54.1714936641,52.6406767812,-46.7082125152
26.44,317.94431747,416.448330682,528.466589548,-10.9649916778,59.8176210918,-152.564576299,319.155974867,500.357348297,363.942750843,-52.8230940758,52.6406767812,-46.7082125152
27.46,350.923462866,456.725030518,530.114942633,7.95777461776,86.605252534,-142.763091255,332.390638078,500.357348297,372.726007389,-41.9462738114,52.6406767812,-46.7082125152
28.48,369.156307229,479.901809605,535.779417432,12.3756521325,101.379254672,-134.067046135,339.765830869,500.357348297,372.964753557,-28.4488341936,54.4914020973,-46.7082125152
29.5,381.129333282,491.253153136,538.49696019,15.8512081516,114.40493121,-128.434108973,344.188198571,500.357348297,372.964758456,-24.3482058549,54.7217676866,-46.7082125152
30.52,378.293297482,487.916152843,537.799293716,13.937169145,111.292744226,-129.002757899,344.139214749,500.357348297,372.922700175,-24.6025741438,54.7217687092,-46.7082125152
31.54,372.160290381,480.020022742,535.328390312,11.2142748804,106.058767384,-131.764992065,340.897888339,500.357348297,372.602963832,-27.129992172,54.4598019872,-46.7082125152
