time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,Simulation_reset
0.0,326.864370517,652.210562304,425.776158832,181.653890293,167.788094282,682.033356186,472.654783726,-32.9035080969,-151.858614571,212.198831234
1.0,326.864370517,652.210562304,425.776158832,181.653890293,167.788094282,682.033356186,472.654783726,-32.9035080969,-151.858614571,212.198831234
2.0,326.864370517,652.210562304,425.776158832,181.653890293,167.788094282,682.033356186,472.654783726,-32.9035080969,-151.858614571,212.198831234
3.0,321.807882672,643.277558754,410.002949258,171.725722373,153.198271669,682.033356186,465.082282498,-34.9240880159,-151.858614571,212.198831234
4.0,269.295007113,589.064006819,378.340547784,128.949889523,109.325981384,663.337321338,409.28853356,-36.3639319687,-161.006893125,174.257338388
5.02,100.024132524,488.438061918,340.890613956,48.4090295832,14.9581011735,523.903847673,358.722883739,-36.36393228,-162.19075886,156.883208559
6.04,57.1511682057,447.602739834,328.945536875,16.1161028985,-34.4652063109,450.514014151,331.776349351,-36.36393228,-162.19075886,156.883208555
7.06,26.6539540712,395.932794669,304.880912662,-1.23284241862,-58.7177379646,429.80824624,317.159096705,-36.36393228,-162.19075886,156.883208555
8.08,25.2456792387,392.887894759,314.208629569,6.86346134681,-57.7808927316,429.808245973,317.004471514,-35.0667932396,-161.420279787,156.883208555
9.1,55.6583705156,422.56090613,344.769922345,55.753085513,-26.3207273104,429.808245973,317.004471514,-33.3051587462,-122.439680249,212.363826718
10.12,88.5311890299,448.034074691,357.012376276,62.27158603,-8.55856433118,429.808245973,317.004471514,-33.305158745,-120.745468255,233.741123568
11.14,88.53118903,448.034074691,357.012376276,62.2715860301,-8.55856433113,429.808245973,317.004471514,-33.305158745,-120.745468255,233.741123568
12.16,94.2328929178,454.49671542,368.65955357,69.3171504046,-6.60913201041,429.808245973,317.004471514,-28.6053978766,-120.347130899,233.741123568
13.18,109.655094254,468.338411731,384.60069248,99.762632185,10.8083453143,434.407974041,317.004471514,-19.9741358458,-111.442432718,233.741123568
14.2,134.307566957,488.681164895,400.445685455,188.669135193,110.142416451,444.535143046,317.004471514,-19.9741159853,-78.9608466012,245.606531133
15.22,137.419262747,489.46999198,410.512509689,206.717914458,116.781342694,444.535143207,317.004471514,-15.8345223386,-69.780078844,245.61050193
16.24,132.554562875,477.390731568,396.19535059,203.195287379,112.661673661,444.535143207,315.617389016,-21.9344372789,-69.7816958469,245.61050193
17.26,120.85981164,425.419622814,355.07684405,173.828102863,79.2419479344,444.535143207,313.878985369,-22.9495710415,-69.7816958469,245.61050193
18.28,102.368816953,332.111515872,303.995405022,152.208624704,66.0223314334,444.535143207,278.053222768,-27.0376914306,-69.7816958469,245.61050193
19.3,100.270089318,328.892485017,305.849088662,154.006900241,62.3197190471,444.535143207,272.800393466,-28.3735775327,-69.7816958469,245.61050193
20.32,117.167280518,349.645438068,363.077327464,200.840507673,74.9102175436,444.535143207,272.800393475,-23.6976230675,-64.9570889087,245.61050193
21.34,135.659393453,363.439844308,386.806409718,230.461013304,76.5657109234,444.535143207,272.800393475,-23.4560033001,-47.3994876058,245.61050193
22.36,149.31295166,372.429741642,406.360991708,270.485448967,93.364920523,444.535143207,272.800393475,-17.3191656195,-5.63190115201,249.012521688
23.38,172.955319148,395.139429272,463.968569534,326.012661,104.347363344,444.535143207,272.800393475,-12.2075973834,5.38099070703,249.012523574
24.4,168.016008673,370.566735539,434.785328155,319.755836943,96.2623534542,444.535143207,271.726995588,-15.1845451001,5.38099045848,249.012523574
25.42,154.872452753,352.801804524,413.454774852,306.063091045,79.6427658834,444.535143207,263.545893085,-21.2870954495,5.38099045848,249.012523574
26.44,145.368564038,317.097584024,370.904888895,290.494468832,72.1503290894,444.535143207,248.473146727,-23.6236284441,5.38099045848,249.012523574
27.46,142.773888119,294.665009902,344.925777961,279.967058338,57.8849116503,444.535143207,237.76188666,-29.9848677645,5.38099045848,249.012523574
28.48,145.824953465,296.818533147,350.010233365,283.556579018,59.9181395895,444.535143207,237.763710836,-26.0256155815,6.39275632072,249.012523574
29.5,143.638491561,289.323982381,333.735713481,279.359016708,52.5224538821,444.535143207,237.763710836,-25.6884965148,6.51667666679,249.012523574
30.52,136.424599263,270.342115758,309.549853941,274.331577006,50.7284532679,444.535143207,237.543576371,-26.8463972659,6.51667666678,249.012523574
31.54,140.17605501,270.8383943,306.666864427,274.661988952,51.0304418433,444.535143207,236.940973181,-28.3765033582,7.04355996287,249.012523574
32.54,144.742624641,280.16500684,326.242546287,286.888982321,55.9983647701,444.535143207,236.94097319,-23.0167479004,8.78109283147,249.012523574
33.54,153.263171484,287.494118403,341.888394771,295.121367063,58.1092088622,444.535143207,236.94097319,-17.6715129615,9.50423973149,249.012523574
34.54,161.258280981,292.881265918,353.550847644,307.478187973,63.4460087078,444.535143207,236.94097319,-5.60121469168,18.6591394365,249.012523574
35.54,178.093499782,308.715859751,393.086858553,346.547469685,77.5233514286,444.535143207,236.94097319,3.01594129851,32.6328440141,249.012523574
36.54,180.978757208,304.206271849,390.918742582,350.795679234,76.5397170792,444.535143207,236.94097319,2.5451821314,32.6430409946,249.012523574
37.54,180.766571231,302.187582516,388.083360344,352.099098248,77.4397359697,444.535143207,236.903098381,1.72643944756,32.7671160114,249.012523574
38.54,179.701149185,298.744253272,379.751183329,350.657748878,77.8946975108,444.535143207,236.57593875,-1.64864496534,32.7812967035,249.012523574
